date,country,energy
2018-01,DE,106.35
2018-02,DE,106.22
2018-03,DE,106.49
2018-04,DE,106.51
2018-05,DE,106.65
2018-06,DE,106.36
2018-07,DE,105.92
2018-08,DE,105.64
2018-09,DE,106.57
2018-10,DE,106.42
2018-11,DE,106.25
2018-12,DE,106.43
2019-01,DE,106.97
2019-02,DE,107.54
2019-03,DE,107.03
2019-04,DE,107.05
2019-05,DE,107.45
2019-06,DE,107.55
2019-07,DE,107.92
2019-08,DE,108.14
2019-09,DE,107.96
2019-10,DE,107.57
2019-11,DE,108.09
2019-12,DE,108.54
2020-01,DE,109.74
2020-02,DE,111.08
2020-03,DE,110.93
2020-04,DE,112.02
2020-05,DE,112.12
2020-06,DE,112.04
2020-07,DE,109.02
2020-08,DE,108.83
2020-09,DE,108.59
2020-10,DE,109.02
2020-11,DE,109.39
2020-12,DE,108.97
2021-01,DE,111.83
2021-02,DE,112.68
2021-03,DE,112.67
2021-04,DE,114.04
2021-05,DE,113.66
2021-06,DE,113.4
2021-07,DE,113.75
2021-08,DE,113.72
2021-09,DE,113.77
2021-10,DE,113.75
2021-11,DE,114.33
2021-12,DE,115.38
2022-01,DE,117.12
2022-02,DE,118.25
2022-03,DE,119.26
2022-04,DE,123.09
2022-05,DE,125.56
2022-06,DE,126.87
2022-07,DE,129.46
2022-08,DE,131.36
2022-09,DE,133.55
2022-10,DE,135.23
2022-11,DE,136.94
2022-12,DE,137.92
2023-01,DE,140.02
2023-02,DE,143.34
2023-03,DE,145.23
2023-04,DE,144.61
2023-05,DE,144.45
2023-06,DE,144.45
2023-07,DE,144.18
2023-08,DE,143.72
2023-09,DE,144.41
2023-10,DE,144.47
2023-11,DE,145.27
2023-12,DE,145.37
2018-01,ES,103.71
2018-02,ES,103.54
2018-03,ES,103.63
2018-04,ES,103.75
2018-05,ES,104.47
2018-06,ES,104.95
2018-07,ES,104.21
2018-08,ES,104.25
2018-09,ES,104.25
2018-10,ES,105.52
2018-11,ES,104.96
2018-12,ES,104.79
2019-01,ES,104.7
2019-02,ES,104.98
2019-03,ES,104.61
2019-04,ES,104.58
2019-05,ES,105.04
2019-06,ES,105.45
2019-07,ES,105.17
2019-08,ES,105.28
2019-09,ES,105.18
2019-10,ES,106.75
2019-11,ES,106.71
2019-12,ES,106.54
2020-01,ES,106.82
2020-02,ES,107.08
2020-03,ES,107.23
2020-04,ES,108.74
2020-05,ES,108.73
2020-06,ES,108.39
2020-07,ES,107.49
2020-08,ES,107.59
2020-09,ES,107.68
2020-10,ES,109.16
2020-11,ES,108.14
2020-12,ES,107.75
2021-01,ES,108.68
2021-02,ES,108.74
2021-03,ES,108.78
2021-04,ES,109.1
2021-05,ES,109.57
2021-06,ES,109.56
2021-07,ES,109.34
2021-08,ES,109.63
2021-09,ES,109.57
2021-10,ES,111.01
2021-11,ES,111.66
2021-12,ES,113.08
2022-01,ES,113.84
2022-02,ES,114.81
2022-03,ES,116.19
2022-04,ES,120.14
2022-05,ES,121.61
2022-06,ES,123.75
2022-07,ES,124.13
2022-08,ES,124.71
2022-09,ES,125.3
2022-10,ES,128.15
2022-11,ES,128.78
2022-12,ES,130.82
2023-01,ES,131.32
2023-02,ES,133.9
2023-03,ES,135.33
2023-04,ES,135.69
2023-05,ES,136.2
2023-06,ES,136.54
2023-07,ES,137.58
2023-08,ES,137.83
2023-09,ES,138.5
2023-10,ES,140.26
2023-11,ES,140.4
2023-12,ES,140.36
2018-01,FR,102.51
2018-02,FR,102.36
2018-03,FR,102.76
2018-04,FR,102.81
2018-05,FR,103.81
2018-06,FR,103.61
2018-07,FR,103.72
2018-08,FR,104.01
2018-09,FR,104.65
2018-10,FR,104.46
2018-11,FR,104.2
2018-12,FR,104.85
2019-01,FR,105.44
2019-02,FR,105.52
2019-03,FR,105.23
2019-04,FR,105.29
2019-05,FR,106.07
2019-06,FR,106.19
2019-07,FR,106.81
2019-08,FR,107.35
2019-09,FR,106.75
2019-10,FR,106.22
2019-11,FR,106.34
2019-12,FR,107.01
2020-01,FR,107.47
2020-02,FR,107.39
2020-03,FR,107.34
2020-04,FR,109.63
2020-05,FR,110.24
2020-06,FR,109.18
2020-07,FR,107.99
2020-08,FR,108.24
2020-09,FR,107.69
2020-10,FR,107.92
2020-11,FR,108.65
2020-12,FR,108.2
2021-01,FR,108.57
2021-02,FR,108.31
2021-03,FR,108.38
2021-04,FR,109.04
2021-05,FR,109.7
2021-06,FR,108.87
2021-07,FR,108.98
2021-08,FR,109.75
2021-09,FR,108.86
2021-10,FR,108.65
2021-11,FR,109.09
2021-12,FR,109.74
2022-01,FR,110.41
2022-02,FR,110.82
2022-03,FR,111.87
2022-04,FR,113.61
2022-05,FR,114.75
2022-06,FR,115.7
2022-07,FR,116.88
2022-08,FR,118.94
2022-09,FR,120.41
2022-10,FR,122.63
2022-11,FR,123.25
